Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
49.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States
23.0, Local-gov,12.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,52.0, United-States
20.0, Private,10.0, Never-married, Sales, Own-child, Black, Male,0.0,0.0,44.0, United-States
45.0, Private,13.0, Divorced, Exec-managerial, Own-child, White, Male,0.0,1408.0,40.0, United-States
30.0, Federal-gov,10.0, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States
22.0, State-gov,10.0, Married-civ-spouse, Other-service, Husband, Black, Male,0.0,0.0,15.0, United-States
48.0, Private,7.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, Puerto-Rico
21.0, Private,10.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,40.0, United-States
19.0, Private,9.0, Married-AF-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,25.0, United-States
31.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,38.0, ?
48.0, Self-emp-not-inc,12.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States
31.0, Private,5.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,43.0, United-States
53.0, Self-emp-not-inc,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States
24.0, Private,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,50.0, United-States
49.0, Private,9.0, Separated, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States
25.0, Private,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,35.0, United-States
57.0, Federal-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0.0,0.0,40.0, United-States
53.0, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,38.0, United-States
44.0, Private,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States
41.0, State-gov,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States
29.0, Private,11.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,43.0, United-States
25.0, Private,10.0, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0.0,0.0,40.0, United-States
18.0, Private,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,30.0, ?
47.0, Private,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,1902.0,60.0, Honduras
50.0, Federal-gov,13.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,55.0, United-States
47.0, Self-emp-inc,9.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,60.0, United-States
43.0, Private,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States
46.0, Private,3.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Mexico
35.0, Private,11.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico
41.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,48.0, United-States
30.0, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013.0,0.0,40.0, United-States
30.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,2407.0,0.0,40.0, United-States
32.0, ?,4.0, Married-spouse-absent, ?, Not-in-family, White, Male,0.0,0.0,40.0, ?
48.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States
42.0, Private,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States
29.0, Private,10.0, Divorced, Tech-support, Not-in-family, White, Male,0.0,0.0,58.0, United-States
36.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States
28.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States
53.0, Private,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States
49.0, Self-emp-inc,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States
25.0, ?,10.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States
19.0, Private,10.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,32.0, United-States
31.0, Private,13.0, Separated, Sales, Own-child, Black, Female,0.0,0.0,40.0, United-States
29.0, Self-emp-not-inc,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,70.0, United-States
23.0, Private,10.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States
79.0, Private,10.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0.0,0.0,20.0, United-States
27.0, Private,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,40.0, Mexico
40.0, Private,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States
67.0, ?,6.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,2.0, United-States
18.0, Private,7.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,22.0, United-States
31.0, Local-gov,4.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States
18.0, Private,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,30.0, United-States
52.0, Private,13.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, Cuba
46.0, Private,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,40.0, United-States
59.0, Private,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States
44.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Female,14344.0,0.0,40.0, United-States
53.0, Private,9.0, Divorced, Sales, Own-child, White, Female,0.0,0.0,35.0, United-States
49.0, Local-gov,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States
33.0, Private,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States
30.0, Private,5.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States
43.0, Federal-gov,16.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States
57.0, Private,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States
37.0, Private,10.0, Divorced, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States
28.0, Private,10.0, Divorced, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,25.0, United-States
30.0, Private,9.0, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0.0,1573.0,35.0, ?
34.0, Local-gov,13.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States
29.0, Local-gov,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,50.0, United-States
48.0, Self-emp-not-inc,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1902.0,60.0, United-States
37.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States
48.0, Private,12.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, England
32.0, Federal-gov,9.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,40.0, United-States
76.0, Private,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States
44.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024.0,0.0,60.0, United-States
47.0, Self-emp-not-inc,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States
20.0, Private,10.0, Never-married, Tech-support, Own-child, White, Female,0.0,0.0,40.0, United-States
29.0, Private,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States
32.0, Self-emp-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,7688.0,0.0,40.0, United-States
17.0, ?,6.0, Never-married, ?, Own-child, White, Female,34095.0,0.0,32.0, United-States
30.0, Private,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States
31.0, Local-gov,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States
42.0, Private,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States
24.0, Private,13.0, Never-married, Sales, Other-relative, White, Male,0.0,0.0,40.0, United-States
38.0, Private,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States
56.0, Self-emp-not-inc,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,1887.0,50.0, Canada
28.0, Private,10.0, Married-civ-spouse, Sales, Wife, White, Female,4064.0,0.0,25.0, United-States
36.0, Private,9.0, Never-married, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States
53.0, Private,5.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,50.0, United-States
56.0, Self-emp-inc,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States
49.0, Local-gov,11.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States
55.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,56.0, United-States
22.0, Private,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,41.0, United-States
21.0, Private,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States
40.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States
30.0, Private,13.0, Never-married, Exec-managerial, Own-child, Black, Male,0.0,0.0,40.0, Germany
29.0, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States
19.0, Private,10.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,35.0, United-States
47.0, Private,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States
20.0, Private,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,1719.0,28.0, United-States
31.0, Private,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States
35.0, ?,9.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States
39.0, Private,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States
28.0, Private,12.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,60.0, United-States
24.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,1762.0,40.0, United-States
38.0, Self-emp-not-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,4386.0,0.0,35.0, United-States
37.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States
46.0, Private,12.0, Divorced, Tech-support, Not-in-family, Black, Female,0.0,0.0,36.0, United-States
38.0, Federal-gov,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, Iran
43.0, Self-emp-not-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States
27.0, Private,11.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,35.0, United-States
20.0, Private,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,20.0, United-States
49.0, Private,10.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States
61.0, Self-emp-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States
27.0, Private,10.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States
19.0, Private,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,30.0, Mexico
45.0, Private,11.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1564.0,40.0, United-States
70.0, Private,10.0, Never-married, Tech-support, Other-relative, White, Male,0.0,0.0,40.0, United-States
31.0, Private,9.0, Never-married, Transport-moving, Unmarried, Black, Female,0.0,0.0,30.0, United-States
22.0, Private,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,24.0, United-States
36.0, Private,9.0, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,24.0, United-States
64.0, Private,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,2179.0,40.0, United-States
43.0, ?,10.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States
47.0, Local-gov,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,38.0, Mexico
34.0, Private,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States
33.0, Private,13.0, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0.0,0.0,40.0, Philippines
21.0, Private,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,35.0, United-States
52.0, ?,9.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,45.0, United-States
48.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,46.0, United-States
23.0, Private,13.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States
71.0, Self-emp-not-inc,10.0, Separated, Sales, Unmarried, Black, Male,0.0,1816.0,2.0, United-States
29.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States
42.0, Private,13.0, Separated, Other-service, Other-relative, Black, Male,0.0,0.0,50.0, United-States
68.0, ?,2.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,20.0, United-States
25.0, Private,9.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States
44.0, Self-emp-inc,14.0, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States
28.0, Private,9.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, England
45.0, Self-emp-not-inc,14.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States
36.0, Private,10.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,40.0, Mexico
39.0, Federal-gov,12.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,42.0, United-States
46.0, State-gov,14.0, Widowed, Protective-serv, Unmarried, White, Male,0.0,0.0,40.0, United-States
18.0, Private,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,16.0, United-States
66.0, Local-gov,11.0, Widowed, Prof-specialty, Not-in-family, White, Female,0.0,0.0,20.0, United-States
27.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Male,0.0,1980.0,40.0, United-States
28.0, State-gov,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States
51.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1977.0,40.0, United-States
27.0, Private,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States
28.0, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States
27.0, Private,9.0, Married-spouse-absent, Sales, Unmarried, White, Female,0.0,0.0,25.0, United-States
21.0, Private,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,40.0, United-States
34.0, Private,9.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0.0,0.0,40.0, United-States
18.0, Private,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,12.0, United-States
33.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,65.0, United-States
44.0, Local-gov,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,38.0, United-States
43.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States
30.0, Private,10.0, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,45.0, United-States
40.0, Private,4.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Mexico
37.0, Federal-gov,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,42.0, United-States
34.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States
41.0, Self-emp-not-inc,13.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States
53.0, ?,13.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,50.0, United-States
31.0, Private,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,50.0, United-States
58.0, State-gov,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States
38.0, Private,10.0, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0.0,0.0,28.0, United-States
24.0, Private,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States
41.0, Local-gov,13.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States
47.0, Private,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,45.0, United-States
41.0, Federal-gov,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,24.0, United-States
23.0, Private,3.0, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, Mexico
36.0, Private,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States
40.0, Federal-gov,14.0, Never-married, Exec-managerial, Not-in-family, White, Female,14084.0,0.0,55.0, United-States
35.0, Private,14.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298.0,0.0,40.0, United-States
24.0, Self-emp-not-inc,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States
26.0, Private,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1876.0,40.0, United-States
19.0, ?,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, Italy
51.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States
42.0, Local-gov,10.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1340.0,40.0, United-States
37.0, State-gov,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,35.0, United-States
18.0, Private,7.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States
36.0, Private,13.0, Married-civ-spouse, Other-service, Husband, Black, Male,7298.0,0.0,36.0, United-States
35.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States
58.0, Self-emp-inc,9.0, Married-civ-spouse, Sales, Wife, White, Female,15024.0,0.0,35.0, United-States
17.0, Private,7.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,12.0, United-States
44.0, Local-gov,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,40.0, United-States
37.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States
35.0, Private,10.0, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States
60.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States
54.0, Self-emp-inc,4.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States
37.0, Private,13.0, Never-married, Exec-managerial, Not-in-family, Black, Male,0.0,0.0,60.0, United-States
50.0, Private,12.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States
38.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, Poland
45.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,55.0, United-States
25.0, Private,6.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States
31.0, Private,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States
64.0, ?,2.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States
90.0, Private,9.0, Never-married, Other-service, Not-in-family, Black, Male,0.0,2206.0,40.0, United-States
54.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,20.0, United-States
53.0, Local-gov,1.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,35.0, United-States
18.0, Private,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States
60.0, ?,6.0, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,10.0, United-States
66.0, Self-emp-not-inc,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409.0,0.0,50.0, United-States
75.0, Private,11.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,20.0, Columbia
65.0, Private,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States
35.0, Private,7.0, Separated, Transport-moving, Not-in-family, Black, Male,3674.0,0.0,40.0, United-States
41.0, Private,9.0, Divorced, Sales, Unmarried, Black, Female,0.0,0.0,38.0, United-States
25.0, Private,10.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,42.0, United-States
33.0, Private,10.0, Divorced, Craft-repair, Other-relative, Other, Female,0.0,0.0,40.0, United-States
28.0, Private,15.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,55.0, United-States
59.0, State-gov,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States
40.0, State-gov,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,38.0, United-States
41.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, Iran
38.0, Local-gov,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,70.0, United-States
23.0, Private,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, United-States
40.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States
41.0, Self-emp-not-inc,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,20.0, United-States
24.0, State-gov,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,50.0, United-States
20.0, ?,10.0, Never-married, ?, Own-child, White, Male,0.0,0.0,20.0, United-States
38.0, Private,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,1741.0,40.0, United-States
56.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,35.0, ?
58.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,45.0, United-States
32.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,34.0, United-States
40.0, Private,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,1977.0,60.0, United-States
45.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, ?
41.0, Private,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States
42.0, Private,13.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0.0,0.0,40.0, United-States
59.0, Local-gov,6.0, Widowed, Other-service, Unmarried, Black, Female,0.0,0.0,30.0, United-States
19.0, Local-gov,10.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States
58.0, Private,10.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,20.0, United-States
42.0, Self-emp-not-inc,9.0, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Cambodia
20.0, Private,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States
32.0, Private,9.0, Separated, Other-service, Not-in-family, White, Female,0.0,0.0,30.0, United-States
45.0, Private,11.0, Widowed, Exec-managerial, Not-in-family, White, Female,0.0,0.0,45.0, United-States
